,link,text,author_name,screen_name,ohi
1540611,https://twitter.com/Jules89763745/status/1623545365009149952,@Dubhghaill86 @SUZNA1966 @RealMattCouch Soros's religion is the synagogue of Satan.,Tweeter.,Jules89763745,0.98894918
658721,https://twitter.com/openthebooksaus/status/1623560130792153088,@James_Hol @PMalinauskasMP @joe_szakacs He is just doing what his zio commie family tells him to do,GlamisTheHelperMouse 🐭,openthebooksaus,0.988841891
1362299,https://twitter.com/arigotch/status/1623333810149502976,@JudyPrincz @Victorshi2020 Of course (((you))) are,Byron West,arigotch,0.988711953
1043113,https://twitter.com/Jeremiah7Hickey/status/1625160928751759360,Crime has risen under the watch of Soros-backed prosecutors in six major cities https://t.co/0XZvT5Rtcw via @BIZPACReview,Jeremiah Hickey Viruet Torres,Jeremiah7Hickey,0.988690078
279038,https://twitter.com/shelly332/status/1625312591605075968,Crime Has Risen Under The Watch Of Soros-Backed Prosecutors In Six Major Cities https://t.co/Ab6m11iaxn via @dailycaller,Shelly 🙋🏼‍♀️,shelly332,0.988690078
894099,https://twitter.com/HoaxCoronavirus/status/1625275923971862528,"@johnmark77777 @KMGVictoria it's mainly just a bit of war propaganda, a hit piece on Hearst for not being gung ho for jewish communism's destruction and enslavement of Europe.",coronavirus is a hoax,HoaxCoronavirus,0.988624454
1055785,https://twitter.com/NMBMDUS/status/1623493523621257216,@FiveTimesAugust Because he is Soros’ puppet https://t.co/QvN5IWjYgp,Nour Ben,NMBMDUS,0.988602459
1094442,https://twitter.com/Carol38553/status/1625289156606758912,@GenFlynn We need to kick out all the officials that Soros and Obama helped get elected..!!!,Carol,Carol38553,0.988335252
658371,https://twitter.com/openthebooksaus/status/1624983170168033280,@anneapplebaum Talk us through your fake Jew past,GlamisTheHelperMouse 🐭,openthebooksaus,0.988290191
423407,https://twitter.com/PMgeezer/status/1625277470940311552,"Never forget… this is not incompetence. 
The goal of WEF/Obama/Soros/Biden is to destroy the USA and all Western Nation States. 
This is TREASON.",🍊Orwell Was Right🍊,PMgeezer,0.988244891
1005327,https://twitter.com/Catz4maga/status/1624452373514014720,@Xx17965797N Jew York Times employee... I'm shocked!,"Meow, Or Scratch?",Catz4maga,0.988244891
543701,https://twitter.com/USABorn55/status/1623112366853423104,"Joe Rogan...
Jew like money.
Duh.",DogTurd,USABorn55,0.987992644
961928,https://twitter.com/gina_knight/status/1623132954925928448,You’re still a lying Soros paid dick. https://t.co/gm25RJHAF7,GK Ultra MAGA 1776 🇺🇸🍊,gina_knight,0.987946212
1016890,https://twitter.com/CoreyDJackson/status/1623176867711791104,@mikepompeo You're Israel's whore.,Lord CoreyDJackson,CoreyDJackson,0.987899601
526116,https://twitter.com/TuckerC_FanClub/status/1624127866995884032,"@ScottAdamsSays This isnt about common sense, this is a full blown communist takeover sponsored by George Soros and the political elite. Their goal is demoralization, division and hopelessness. Sad thing is, its working.",Liberty🧡Belle,TuckerC_FanClub,0.98771137
170503,https://twitter.com/truthoverhate/status/1624891262191955968,"@bogdan_parfene @Alphafox78 From what I have read she didn't just one day decide to run for Congress in order to help her people. No, she interviewed for a job because they were looking for someone they could run for office &amp; control. I think she is backed by Soros money &amp; is nothing more than a paid actor.",Leah - Little LuLu,truthoverhate,0.98759228
1005347,https://twitter.com/Catz4maga/status/1624262367423913984,@CheburekiMan Perhaps Germany will be able to shake their NATO ZOG owners after the war. I can't imagine the alliance surviving this.,"Meow, Or Scratch?",Catz4maga,0.987447917
1005202,https://twitter.com/Catz4maga/status/1625515664659083264,@ElijahSchaffer Judeo-communists are destroying America.,"Meow, Or Scratch?",Catz4maga,0.987350643
1402248,https://twitter.com/MichaelEMiner1/status/1624515880267788288,"@gary_weiss @RobManess Russia was fighting on 2 fronts in WW2, the Germans and the Rothschild influence within Russia. Their internal enemy basically owned and controlled England, their ally against Germany. As soon as Germany surrendered, England became their enemy, still is.",Michael E. Miner,MichaelEMiner1,0.987301826
499958,https://twitter.com/chitterbug/status/1623424659210248192,"@nasser2036 @NoMoreNATO Not Americans. The handlers of our leaders. Those POS that are in charge of WEF/BILDERBERG/IMF/MIC, etc. All of our leaders are bought and paid for. When can people like Schwab, Gates, Soros, Rothschilds, Rockerfellers, etc., all be tried, convicted and imprisoned? Wars must stop",Ms. Chitterbug,chitterbug,0.987203538
764847,https://twitter.com/TheRealNewsGeek/status/1624125241864617984,@MALACHY_Officia @HornyNord @LegacyKillaHD Would you like a list of Jews in literal control of literal central banks?,News Geek,TheRealNewsGeek,0.987178802
628913,https://twitter.com/Columcilled/status/1623432879916343296,@TheChiefNerd @elonmusk Jewish speech is not free speech.,Sanctum Oleum,Columcilled,0.987004578
1094519,https://twitter.com/Carol38553/status/1625193111285538816,"Soros-funded Texas DA accused of evading court order, grand jury to charge police officer https://t.co/wcPuCuA9p7 via @Yahoo",Carol,Carol38553,0.987004578
1005416,https://twitter.com/Catz4maga/status/1623700161653358592,@The_Hellenist Its a jewish humiliation ritual for slaves.,"Meow, Or Scratch?",Catz4maga,0.986904025
361789,https://twitter.com/BeAccountable4u/status/1623692272775700480,Stl has been under Dem control for 76 years. Nobody's fault but theirs. Soros prosecutor and Marxist Democrats run the city. https://t.co/COoG8oHchI,Accountability Addict 💪💥💪,BeAccountable4u,0.986700475
290321,https://twitter.com/BattyMomof3/status/1624462249791291392,THE ZIONIST CABAL'S BLOODLUST FOR WW3 -- Harley Schlanger https://t.co/VSnfz2MYoQ,BattyMomof3-Not Represented By US Congress,BattyMomof3,0.986649096
169936,https://twitter.com/csadoc/status/1625117481500135424,"True, but remove him and NOTHING changes, since it is obama, soros, &amp; other Marxist-Globalist authoritarians running, and RUINING our country &amp; the world.  BTW, why no mention of ELECTION FRAUD, the 1/6 FEDSURRECTION, etc. during your speech after SOTU?  MANY of us wonder why. https://t.co/PsIGRxABY3",Tom,csadoc,0.98657167
764878,https://twitter.com/TheRealNewsGeek/status/1623837858195701760,@unheldcentre @GGrajab @shezedks @AfrikaansCath @Activist_Shirts Sure. Those G-d-damned goyim are all so stupid.,News Geek,TheRealNewsGeek,0.986519933
971810,https://twitter.com/barbara18288359/status/1624559811257061376,"YES IT WOULD, BUT YOU FORGOT SATAN'S SON, 
GEORGE SOROS. https://t.co/e4kbY0465S",barbara barnes,barbara18288359,0.986441731
1536572,https://twitter.com/Mary69211766/status/1625637971297996800,"@SpartaJustice @KimDotcom This kraus man is another HITLER. But this time he is the ruler of the world 
I cannot believe America just handed over to soro. Kraus
Obama and all our leaders is
With them???",Mary,Mary69211766,0.986336887
963851,https://twitter.com/AmeriSpiracy/status/1624430540320546816,"@TeamCavuto @BryanLlenas … Zionist+ puppet @NikkiHaley+ #NikkiHaley+ said this about @realDonaldTrump+
😈👍 hey, must be the money https://t.co/TS6TYFObi5",Burner Account 🕳️🔥,AmeriSpiracy,0.986231148
190571,https://twitter.com/Richard03083819/status/1624893228351619072,Central bankers brought down the buildings along with a their operatives CIA and mossad! https://t.co/5PXbLU8hZ3,Connaught DNA,Richard03083819,0.986151397
1181651,https://twitter.com/DonnaBr45155460/status/1625582554957897728,@DC_Draino And as a reminder the Bush family and the Rothchilds are amongst the owners of BlackRock.,Donna Bradshaw,DonnaBr45155460,0.986124694
1168194,https://twitter.com/2012mrdz/status/1625125934859792384,"Crime has risen under watch of Soros-backed prosecutors

I found this article on MxM News--a new app without media bias or censorship.

Shocking  https://t.co/NlqWwMMoe6",2012mrdz,2012mrdz,0.986097932
135984,https://twitter.com/Cernovich/status/1625576057540870144,"This is part of Soros’ Anarcho Tyranny. 

Release the criminals, then when they commits crimes, use this as a pretext to disarm the law abiding. 

 https://t.co/RJ6zU3q1am",Cernovich,Cernovich,0.985936403
18012,https://twitter.com/WayneDupreeShow/status/1623849313754308608,"Why won’t Ron remove this Soros-funded voter software? 

https://t.co/jmj7QE8vZ5",🫵🏾 Wayne DuPree ,WayneDupreeShow,0.985827565
385858,https://twitter.com/WiscguyNE/status/1624057157061693440,"@Inventitnow @12Noon27 Nobody does. But the corrupt AF, Soros funded DA won’t prosecute so the sewer dwelling hood rats run amok!",Tom,WiscguyNE,0.985772908
436999,https://twitter.com/bai17414824/status/1624683131751071744,"@Stornoway_Cove ""Reichstag fire: Jews
Economic depression: Jews
Failing banks: Jews
Missing children: Jews
Corruption: Jews
Social decay: Jews
Government incompetence: Jews

Solution? 

LOSE the Jews...""

You're not even trying to hide it anymore, are you? https://t.co/exxiLb2Qe9",9999,bai17414824,0.985745549
537073,https://twitter.com/borumcaryn/status/1624506781409112064,@MarthaTomb @luisafontana @Sentletse @ZelenskyyUa @jpmorgan He hates anyone who isn’t!!! He is Khazarian.. they want world domination and run every institute in the world.,🐸🇺🇸CARYN🇺🇸🐸,borumcaryn,0.985718131
587969,https://twitter.com/FedUpwDemsLIES/status/1623302751764578304,It 100% IS #JOOEBIDENSFAULT https://t.co/MrF91uTVfF,FedUp🌟🌟🌟- BIDENSNOTMYPRESIDENT,FedUpwDemsLIES,0.985662997
765086,https://twitter.com/Belshelzar/status/1623852913897664512,@lunarpnut @shannonazusa So ur a Soros purchased Puppet.. got it ✔️ enjoy a soulless existence ⚫️,🇺🇸BelShelZar🦅🇺🇸,Belshelzar,0.985468447
1455162,https://twitter.com/chicacalientenl/status/1625598114957783040,@GovernorHobbs SOROS PUPPET,ULTRA MAGA GANG MEMBER,chicacalientenl,0.985242963
1396032,https://twitter.com/charsy102/status/1625613365811748864,@KaCurrie_45 Soros puppet,Charsy,charsy102,0.985242963
1138736,https://twitter.com/dullman_nonnie/status/1625537149096411136,@ClownWorld_ Soros-Backed Prosecutors Have Overseen Crime Waves In Major U.S. Cities https://t.co/4cVsT4lGTI,❌Nonnie Dullman❌,dullman_nonnie,0.98518616
446418,https://twitter.com/steveweidberg/status/1623402787580125184,@Kira_Saoirse They are the banks of the world! They are the massive companies! The military war machine companies! They are the ones that are paid mega billions in interest to carry America's 31 trillion$ debt! Etc.etc.etc. Think Rothchild's Rockefeller's etc,Steve,steveweidberg,0.985071659
422902,https://twitter.com/Fr_brthng_dnml/status/1623869779596410880,"Arrest fauci, gates, soros, all the political puppet masters and their criminal minions. https://t.co/VEE7VS3AdO",Fr_brthng_dnml✝️🇺🇸,Fr_brthng_dnml,0.984956324
1005372,https://twitter.com/Catz4maga/status/1624243111869263872,@LittleBoats2020 Peaceful demonstrations are no threat at all to the ZOG.,"Meow, Or Scratch?",Catz4maga,0.984956324
264705,https://twitter.com/jironnica/status/1624775673939210240,"Pure evil right here folks. If you don’t stand behind Trump, we are lost forever. Make election integrity the number one priority! These two are installed puppets paid for by the dark money of Soros and other evil countries. https://t.co/shbvk9xzqg",Lora,jironnica,0.984810948
658744,https://twitter.com/openthebooksaus/status/1623520439023828992,@JulianAndrew63 Do we really want the Khazarians back welding power over us all,GlamisTheHelperMouse 🐭,openthebooksaus,0.984810948
1218615,https://twitter.com/hashwagg/status/1623986975047909376,"@willisten5 One would need to start the money trail at State Dept, then get the CIA’s books, leading into the Soros funded and backed NGOs. 

Houdini would be envious of these tricks.",LandSnark,hashwagg,0.984781742
125782,https://twitter.com/AshaLogos/status/1624147969590296576,"@____Diogenes___ The capture of Church leadership by zionist organizations and monies is absolutely cancerous, and should be the greatest source of shame to all genuine Christians. The 1947 Rothschild created state of Israel is essentially the new God, for the worst and most extreme of these..",Asha Logos,AshaLogos,0.984781742
1396085,https://twitter.com/charsy102/status/1623660961390288896,@AOC May The Lord Jesus rebuke you America does not want communism and the Soros lies repent,Charsy,charsy102,0.984723091
1165107,https://twitter.com/SGTreport/status/1624494326876184576,"Twitter &amp; the gate keepers don't like Bitchute, here's the Rumble link. #BidenWorstPresidentEver 

THE ZIONIST CABAL'S BLOODLUST FOR WW3 -- HARLEY SCHLANGER
https://t.co/8An7pQnyh4",SGTreport,SGTreport,0.984605074
385784,https://twitter.com/WiscguyNE/status/1625595513998286848,"@joncoopertweets 2600 shootings in Chicago in 2022. A State with some of the strictest gun laws in the Nation and also with a Soros funded. Corrupt AF prosecutor who won’t prosecute.  Yet, you don’t give a damn. You’re a shill for the destruction of the United States!",Tom,WiscguyNE,0.984396458
1508142,https://twitter.com/McmurrayBrad/status/1625194935530954752,@Megohelie1 America has been usurped by Zionist.,BRAD MCMURRAY,McmurrayBrad,0.984366417
845085,https://twitter.com/WeAreAllBack/status/1623665027646636032,"@townhallcom Elon Musk had all the emails that proved Roth is lying every time his lips are moving. 
We ALL saw the emails written by Roth.
Roth is blame shifting.
@elonmusk",🇱🇷I AM ROCK 🇱🇷,WeAreAllBack,0.984366417
548664,https://twitter.com/FactofTruth/status/1625539677641150464,"Yet we are the terrorists?? No! We are at work providing for our families, while these actual domestic terrorists are being paid by Soros and the like to work on destroying our nation, its infrastructure, etc.",Unalienable Rights,FactofTruth,0.984245718
766793,https://twitter.com/bubbie80/status/1625338245272698880,"@JesseKellyDC @IgnatiusSmith5 Old Abe, killed by his own government, for attempting to establish a government controlled monetary system, the greenback, as opposed to a central bank/federal reserve/Rothschild banking system. Same as JFK. Reagan got his warning shot too. But Trump, full control, protected",Jared Driggers,bubbie80,0.98420018
1306127,https://twitter.com/TPInsidr/status/1624065706835714048,The reason Soros gets involved in lower level races is more obvious than ever. https://t.co/iJyGtKp7NG,ThePoliticalInsider,TPInsidr,0.984154582
17996,https://twitter.com/WayneDupreeShow/status/1624069495315636224,"The reason Soros gets involved in lower level races is more obvious than ever.
https://t.co/8gPN2YWPij",🫵🏾 Wayne DuPree ,WayneDupreeShow,0.984154582
